entity_name,location,inspection_date,good_practices,non_compliances,action_taken,score_obtained,score_total,score_percent,finding_severity,notice_issued,source_handle,post_url,post_date,media_urls,raw_text
Hotel Tulips Grand,"Turkayamjal, Hayathnagar",21-03-2025,,"Unhygienic conditions observed in the cooking area and storage premises | Dustbin found to be left open and near to the cooking area | Expired Mushrooms, insect-infested icecreams and poppyseeds were identified in the store room | Long stored meat was found to be completely rotten in the cold chamber | Stocks of spoiled meat (96kg), infested Icecreams (worth Rs. 2500) and Mushrooms (10 pkts) were discarded | No proper drainage system in the kitchen | Oil was observed to be used repeatedly for cooking | Pest control and other records not available with the FBO",,,,,Non-compliance,No,@c_tgsafe,https://x.com/c_tgsafe/status/1903119303920193639,2025-03-21,https://pbs.twimg.com/media/Gmk86Y_boAAdi6D?format=jpg&name=small | https://pbs.twimg.com/media/Gmk86aEaEAAxerG?format=jpg&name=900x900 | https://pbs.twimg.com/media/Gmk86gPaEAQtRmt?format=jpg&name=900x900,"State level task force team has conducted an inspection at the below establishment on 21.03.2025. 

𝗛𝗼𝘁𝗲𝗹 𝗧𝘂𝗹𝗶𝗽𝘀 𝗚𝗿𝗮𝗻𝗱, 𝗧𝘂𝗿𝗸𝗮𝘆𝗮𝗺𝗷𝗮𝗹, 𝗛𝗮𝘆𝗮𝘁𝗵𝗻𝗮𝗴𝗮𝗿

* Unhygienic conditions observed in the cooking area and storage premises.  

* Dustbin found to be left open and near to the cooking area. 

* Expired Mushrooms, insect-infested icecreams and poppyseeds were identified in the store room. 

* Long stored meat was found to be completely rotten in the cold chamber. 

* Stocks of spoiled meat (96kg), infested Icecreams (worth Rs. 2500) and Mushrooms (10 pkts) were discarded. 

* No proper drainage system in the kitchen. 

* Oil was observed to be used repeatedly for cooking. 

* Pest control and other records not available with the FBO. 


@fssaiindia
 

@MoHFW_Telangana"
Wacky Wok Cloud Kitchen,"Satya Towers, Kondapur",2026-08-13,Hairnets used by food handlers | No expired raw materials found | FIFO and FEFO practices followed | Fly catchers installed | Veg and non-veg food areas separated,"Inadequate cooling in the freezer, with spoiled vegetables and pest activity observed | No hot-water sanitation of utensils | Freezer found poorly maintained and unhygienic | Synthetic colours found in use and discarded on the spot",The establishment was advised to rectify the deficiencies and maintain required food safety and hygiene standards,60,98,61,Major,No,@CMC_Offcl,https://x.com/CMC_Offcl/status/2087907815885308193,2026-08-13,https://pbs.twimg.com/amplify_video_thumb/2087907241395625985/img/Xe5U7Bhwb-HGEsXK.jpg | https://pbs.twimg.com/amplify_video_thumb/2087907241429229568/img/CykDsJcB1g_S62oO.jpg | https://pbs.twimg.com/media/HPm8uDIawAELgX-?format=jpg&name=small,"Food Safety Inspection | Wacky Wok Cloud Kitchen 
 CMC Food Safety Officers conducted an inspection at Wacky Wok Cloud Kitchen, Satya Towers, Kondapur, to review food safety and hygiene practices. 
 Good practices observed: 
 • Hairnets used by food handlers 
 • No expired raw materials found 
 • FIFO and FEFO practices followed 
 • Fly catchers installed 
 • Veg and non-veg food areas separated 
 Major violations observed: 
 • Inadequate cooling in the freezer, with spoiled vegetables and pest activity observed 
 • No hot-water sanitation of utensils 
 • Freezer found poorly maintained and unhygienic 
 • Synthetic colours found in use and discarded on the spot 
 FoSCoS Score: 60/98 (61%) 
 The establishment was advised to rectify the deficiencies and maintain required food safety and hygiene standards. 
 #TeamCMC #FoodSafety #SafeFood #Cyberabad 
 @jayesh_ranjan 
 @TelanganaCS 
 @TelanganaCMO 
 @IPRTelangana 
 @MC_Cyberabad 
 @ZC_SLP 
 @ZC_Kukatpally1 
 @zcquthbullapur 
 @GummallaSrijana"
Palle Vindhu,Hitech City,2026-08-13,Hairnets and aprons used by food handlers | Water testing and medical fitness certificates maintained | No synthetic colours or Ajinomoto used | FOSTAC supervisors deployed | No stored/stale or expired food observed | Proper pest control practices and records maintained | Regular cleaning schedules followed | Raw materials properly labelled,Uneven wash-area surface causing water accumulation at some points | Drain mesh to be installed,The establishment was advised to address the observed deficiencies and continue maintaining good food safety and hygiene standards,102,110,93,Improvement,No,@CMC_Offcl,https://x.com/CMC_Offcl/status/2087939064779641004,2026-08-13,https://pbs.twimg.com/amplify_video_thumb/2087939029618888704/img/c6v_yr06zXEkaq2L.jpg | https://pbs.twimg.com/amplify_video_thumb/2087939029614596101/img/MDjhSvxGkwPDEtH7.jpg | https://pbs.twimg.com/media/HPnZfDBbIAAvj1z?format=jpg&name=medium | https://pbs.twimg.com/media/HPnZfC-aEAIGai8?format=jpg&name=900x900,"Food Safety Inspection | Palle Vindhu, Hitech City 
 CMC Food Safety Officers conducted an inspection at Palle Vindhu, Hitech City, to review food safety and hygiene practices. 
 Good practices observed: 
 • Hairnets and aprons used by food handlers 
 • Water testing and medical fitness certificates maintained 
 • No synthetic colours or Ajinomoto used 
 • FOSTAC supervisors deployed 
 • No stored/stale or expired food observed 
 • Proper pest control practices and records maintained 
 • Regular cleaning schedules followed 
 • Raw materials properly labelled 
 Areas requiring improvement: 
 • Uneven wash-area surface causing water accumulation at some points 
 • Drain mesh to be installed 
 FoSCoS Score: 102/110 (93%) 
 The establishment was advised to address the observed deficiencies and continue maintaining good food safety and hygiene standards. 
 #TeamCMC #FoodSafety #SafeFood #Cyberabad 
 @jayesh_ranjan 
 @TelanganaCS 
 @TelanganaCMO 
 @IPRTelangana 
 @MC_Cyberabad 
 @ZC_SLP 
 @ZC_Kukatpally1 
 @zcquthbullapur 
 @GummallaSrijana"
Ideal Kitchen,"Beeramguda, Ameenpur",2026-08-13,,"Kitchen found small, congested and not properly cleaned | Semi-prepared batters and chutneys stored close to a brooming stick | Medical, pest control, water testing, food testing and packaging records were not available | Artificial food colours were in use and discarded on the spot | Prepared rice items including sambar rice, lemon rice, pulihora and mudda pappu-avakaya were kept open | Batters were not properly labelled | Open drain and broken flooring in the grinding area causing water stagnation and odour | Exhausts were not cleaned properly","A notice was issued for the observed violations, with directions to rectify the deficiencies and improve food safety and hygiene standards",58,92,63,Non-compliance,Yes,@CMC_Offcl,https://x.com/CMC_Offcl/status/2087940051347046638,2026-08-13,https://pbs.twimg.com/media/HPnaOgBaEAA6ZWt?format=jpg&name=small | https://pbs.twimg.com/media/HPnaSXHa0AApNE4?format=jpg&name=small | https://pbs.twimg.com/media/HPnaUN9bwAAK1nr?format=jpg&name=small | https://pbs.twimg.com/media/HPnaUOAaEAMzU1f?format=jpg&name=small,"Food Safety Inspection | Ideal Kitchen, Beeramguda 
 CMC Food Safety Officers conducted an inspection at Ideal Kitchen, Beeramguda, Ameenpur, to review food safety and hygiene practices. 
 Non-compliances observed: 
 • Kitchen found small, congested and not properly cleaned 
 • Semi-prepared batters and chutneys stored close to a brooming stick 
 • Medical, pest control, water testing, food testing and packaging records were not available 
 • Artificial food colours were in use and discarded on the spot 
 • Prepared rice items including sambar rice, lemon rice, pulihora and mudda pappu-avakaya were kept open 
 • Batters were not properly labelled 
 • Open drain and broken flooring in the grinding area causing water stagnation and odour 
 • Exhausts were not cleaned properly 
 FoSCoS Score: 58/92 (63%) 
 A notice was issued for the observed violations, with directions to rectify the deficiencies and improve food safety and hygiene standards. 
 #TeamCMC #FoodSafety #SafeFood #Cyberabad 
 @jayesh_ranjan 
 @TelanganaCS 
 @TelanganaCMO 
 @IPRTelangana 
 @MC_Cyberabad 
 @ZC_SLP 
 @ZC_Kukatpally1 
 @zcquthbullapur 
 @GummallaSrijana"
Babai Hotel,Madinaguda,2026-08-13,"Pest control, packaging and water testing records were available",Medical records of food handlers and food testing records were not available | Uneven flooring causing water stagnation and odour in the dishwashing area | Semi-prepared foods such as poori and poornam were not labelled | Food waste was not cleared from drains | Exhaust was greasy and required cleaning | Broken flooring observed at some places in the kitchen,"A notice was issued for the observed violations, with directions to rectify the deficiencies and maintain required food safety and hygiene standards",69,98,71,Non-compliance,Yes,@CMC_Offcl,https://x.com/CMC_Offcl/status/2087913124569711052,2026-08-13,https://pbs.twimg.com/media/HPnB5pHaUAA-A7q?format=jpg&name=small | https://pbs.twimg.com/media/HPnB5pBboAAE33S?format=jpg&name=small | https://pbs.twimg.com/media/HPnB5pCacAAm2k0?format=jpg&name=small | https://pbs.twimg.com/media/HPnB5o1bcAAbnCR?format=jpg&name=small,"Food Safety Inspection | Babai Hotel, Madinaguda 
 CMC Food Safety Officers conducted an inspection at Babai Hotel, Madinaguda, to review food safety and hygiene practices. 
 Good practices observed: 
 • Pest control, packaging and water testing records were available. 
 Non-compliances observed: 
 • Medical records of food handlers and food testing records were not available 
 • Uneven flooring causing water stagnation and odour in the dishwashing area 
 • Semi-prepared foods such as poori and poornam were not labelled 
 • Food waste was not cleared from drains 
 • Exhaust was greasy and required cleaning 
 • Broken flooring observed at some places in the kitchen 
 FoSCoS Score: 69/98 (71%) 
 A notice was issued for the observed violations, with directions to rectify the deficiencies and maintain required food safety and hygiene standards. 
 #TeamCMC #FoodSafety #SafeFood #Cyberabad 
 @jayesh_ranjan 
 @TelanganaCS 
 @TelanganaCMO 
 @IPRTelangana 
 @MC_Cyberabad 
 @ZC_SLP 
 @ZC_Kukatpally1 
 @zcquthbullapur 
 @GummallaSrijana"
Varnam,"Genpact Lane, Hafeezpet",2026-08-12,Good personal hygiene maintained by food handlers,"Water stagnation and food waste in drains | Iron knives and no pallets in use | Required medical, food testing, water testing and packaging records not available | Refrigerator not properly cleaned/sorted, with water leakage observed | Semi-prepared and prepared foods not labelled | Dust on ceiling and greasy exhausts | Fungus observed on cauliflower and spoiled cabbage and potatoes not sorted","A notice will be served for the observed violations, with directions to rectify the deficiencies and improve food safety and hygiene practices",61,100,61,Non-compliance,Yes,@CMC_Offcl,https://x.com/CMC_Offcl/status/2087533852659188034,2026-08-12,https://pbs.twimg.com/media/HPhotEVaEAAgFAV?format=jpg&name=small | https://pbs.twimg.com/media/HPhotEiboAArT13?format=jpg&name=small | https://pbs.twimg.com/media/HPhou_jbcAEjyzl?format=jpg&name=small | https://pbs.twimg.com/media/HPhoxKBaMAAITgi?format=jpg&name=small,"Food Safety Inspection | Varnam, Hafeezpet 
 CMC Food Safety Officers conducted an inspection at Varnam, Genpact Lane, Hafeezpet to review food hygiene and safety practices. 
 Good practice observed: 
 • Good personal hygiene maintained by food handlers. 
 Non-compliances observed: 
 • Water stagnation and food waste in drains 
 • Iron knives and no pallets in use 
 • Required medical, food testing, water testing and packaging records not available 
 • Refrigerator not properly cleaned/sorted, with water leakage observed 
 • Semi-prepared and prepared foods not labelled 
 • Dust on ceiling and greasy exhausts 
 • Fungus observed on cauliflower and spoiled cabbage and potatoes not sorted 
 FoSCoS Score: 61/100 (61%) 
 A notice will be served for the observed violations, with directions to rectify the deficiencies and improve food safety and hygiene practices. 
 #TeamCMC #FoodSafety #SafeFood #Cyberabad 
 @jayesh_ranjan 
 @TelanganaCS 
 @TelanganaCMO 
 @IPRTelangana 
 @MC_Cyberabad 
 @ZC_SLP 
 @ZC_Kukatpally1 
 @zcquthbullapur 
 @GummallaSrijana"
Santosh Dhaba 100% Pure Veg Exclusive,"near Miraj Theatre Lane, Miyapur",2026-08-06,,"Semi-prepared food items were not labelled | Food handlers were not using hairnets, aprons and gloves | Exhaust fans and ceiling areas require proper cleaning | No lighting in the store room | Medical, pest control, water & food testing and packaging records were not produced | Broken side-wall tiles observed | Chiller was not maintained properly","A notice will be served for the violations observed, with directions to rectify the deficiencies and improve food safety and hygiene practices",55,96,58,Non-compliance,Yes,@CMC_Offcl,https://x.com/CMC_Offcl/status/2085377978104733961,2026-08-06,https://pbs.twimg.com/media/HPC_9lDbwAExNW0?format=jpg&name=small | https://pbs.twimg.com/media/HPDADwLbsAAkT8E?format=jpg&name=small | https://pbs.twimg.com/media/HPDADv7akAACgbe?format=jpg&name=small | https://pbs.twimg.com/media/HPDADuza0AA6U-S?format=jpg&name=small,"Food Safety Inspection | Santosh Dhaba 
 CMC Food Safety Officers conducted an inspection at Santosh Dhaba 100% Pure Veg Exclusive, near Miraj Theatre Lane, Miyapur, to check food safety and hygiene standards. 
 Key non-compliances observed: 
 • Semi-prepared food items were not labelled 
 • Food handlers were not using hairnets, aprons and gloves 
 • Exhaust fans and ceiling areas require proper cleaning 
 • No lighting in the store room 
 • Medical, pest control, water & food testing and packaging records were not produced 
 • Broken side-wall tiles observed 
 • Chiller was not maintained properly 
 FoSCoS Score: 55/96 (58%) 
 A notice will be served for the violations observed, with directions to rectify the deficiencies and improve food safety and hygiene practices. 
 #TeamCMC #FoodSafety #SafeFood #Cyberabad 
 @jayesh_ranjan 
 @TelanganaCS 
 @TelanganaCMO 
 @IPRTelangana 
 @MC_Cyberabad 
 @ZC_SLP 
 @ZC_Kukatpally1 
 @zcquthbullapur 
 @GummallaSrijana"
Jaaju Kitchen & Bar,Madinaguda,2026-08-06,"Good personal hygiene maintained by food handlers | Pest control, annual medical and water testing records available | Semi-prepared food items properly labelled",Food testing and packaging records not available | Food waste observed in drains and an open drain near the dishwashing area | Damaged gasket in the non-veg chiller requiring replacement | Water clogging in the dishwashing sink | Exhausts near stoves and freezer require proper cleaning,The management was instructed to rectify the observed deficiencies and maintain required food safety and hygiene standards,82,102,80,Improvement,No,@CMC_Offcl,https://x.com/CMC_Offcl/status/2085376554356617605,2026-08-06,https://pbs.twimg.com/media/HPC-2WSbEAAu6Dq?format=jpg&name=small | https://pbs.twimg.com/media/HPC-2V6awAAndI2?format=jpg&name=small | https://pbs.twimg.com/media/HPC-2XAbgAAtLaj?format=jpg&name=small | https://pbs.twimg.com/media/HPC-2V8aYAA-zhN?format=jpg&name=small,"Food Safety Check | Jaaju Kitchen & Bar 
 CMC Food Safety Officers conducted an inspection at Jaaju Kitchen & Bar, Madinaguda, to check food safety, hygiene and compliance standards. 
 Good practices observed: 
 • Good personal hygiene maintained by food handlers 
 • Pest control, annual medical and water testing records available 
 • Semi-prepared food items properly labelled 
 Areas requiring improvement: 
 • Food testing and packaging records not available 
 • Food waste observed in drains and an open drain near the dishwashing area 
 • Damaged gasket in the non-veg chiller requiring replacement 
 • Water clogging in the dishwashing sink 
 • Exhausts near stoves and freezer require proper cleaning 
 FoSCoS Score: 82/102 (80%) 
 The management was instructed to rectify the observed deficiencies and maintain required food safety and hygiene standards. 
 #TeamCMC #FoodSafety #SafeFood #Cyberabad 
 @jayesh_ranjan 
 @TelanganaCS 
 @TelanganaCMO 
 @IPRTelangana 
 @MC_Cyberabad 
 @ZC_SLP 
 @ZC_Kukatpally1 
 @zcquthbullapur 
 @GummallaSrijana"
,,2026-08-03,,,,,,,None,No,@GHMCOnline,https://x.com/GHMCOnline/status/2084529719794675944,2026-08-03,https://pbs.twimg.com/media/HO0TM9BbkAEuulT?format=jpg&name=small | https://pbs.twimg.com/media/HO0TN2KbAAAKxwi?format=jpg&name=small | https://pbs.twimg.com/media/HO0TPDWaIAAGa5q?format=jpg&name=small | https://pbs.twimg.com/media/HO0TP8jbQAAn068?format=jpg&name=small,"Urgent attention required 
 @GHMCOnline 
 @CommissionrGHMC 
 @DcFalaknuma 
 The GHMC drainage manholes are badly damaged, and the entire drainage line is in a deteriorated condition opposite 
 http:// 
 H.No. 19-3-294/19/B, Fatima Nagar, Vattepally. The area also requires complete cleaning as it poses a serious health and safety risk to residents. 
 Kindly depute the concerned officials to inspect the site immediately, repair all damaged manholes, restore the entire drainage line, clean the area thoroughly, and resolve the issue at the earliest. 
 #GHMC #Hyderabad #CivicIssues"
Antera Kitchen & Bar,Madinaguda,2026-07-30,"TPC meter available for monitoring cooking oil quality | Probe thermometer in use | Records of medical fitness, food & water testing, packaging, pest control, calibration and RUCO maintained | Food handlers trained under FoSTaC | Pallets used for proper storage | Meshes fitted to kitchen doors and the non-vegetarian cutting area | Food items properly labelled",Kitchen and store room doors should be fitted with a proper self-closing mechanism | Cleaning frequency behind cooking stoves needs to be increased,An Improvement Notice has been issued to address the identified observations and ensure continued compliance with food safety standards,100,106,94,Improvement,Yes,@CMC_Offcl,https://x.com/CMC_Offcl/status/2082819566594642099,2026-07-30,https://pbs.twimg.com/media/HOepPu7bAAEW1BU?format=jpg&name=small | https://pbs.twimg.com/media/HOepPurbgAAsRla?format=jpg&name=small | https://pbs.twimg.com/media/HOepWNTbkAA8tkv?format=jpg&name=small | https://pbs.twimg.com/media/HOepWNdboAAJqil?format=jpg&name=small,"Food Safety Inspection | Antera Kitchen & Bar 
 Food Safety Officers of CMC conducted an inspection at Antera Kitchen & Bar, Madinaguda, to assess compliance with food safety and hygiene standards. 
 Good practices observed: 
 • TPC meter available for monitoring cooking oil quality. 
 • Probe thermometer in use. 
 • Records of medical fitness, food & water testing, packaging, pest control, calibration and RUCO maintained. 
 • Food handlers trained under FoSTaC. 
 • Pallets used for proper storage. 
 • Meshes fitted to kitchen doors and the non-vegetarian cutting area. 
 • Food items properly labelled. 
 Areas requiring improvement: 
 • Kitchen and store room doors should be fitted with a proper self-closing mechanism. 
 • Cleaning frequency behind cooking stoves needs to be increased. 
 FoSCoS Score: 100/106 (94%) 
 An Improvement Notice has been issued to address the identified observations and ensure continued compliance with food safety standards. 
 #TeamCMC #FoodSafety #SafeFood #Cyberabad 
 @jayesh_ranjan 
 @TelanganaCS 
 @TelanganaCMO 
 @IPRTelangana 
 @MC_Cyberabad 
 @ZC_SLP 
 @ZC_Kukatpally1 
 @zcquthbullapur 
 @GummallaSrijana"
Wow! Momo Foods Pvt,,2026-07-29,Food handlers maintained personal hygiene | FSSAI licence displayed prominently at the premises,,"An Improvement Notice is being issued, directing the Food Business Operator to rectify the deficiencies and ensure compliance with food safety standards",78,116,68,None,Yes,@CMC_Offcl,https://x.com/CMC_Offcl/status/2082298956344885384,2026-07-29,https://pbs.twimg.com/media/HOXPgCsa4AAwiI4?format=jpg&name=small | https://pbs.twimg.com/media/HOXPgCqbkAAAyNU?format=jpg&name=small | https://pbs.twimg.com/media/HOXPgCra0AAToGp?format=jpg&name=small | https://pbs.twimg.com/media/HOXPgClbsAAWAUn?format=jpg&name=small,"Food Safety Inspection | Wow! Momo 
 Yesterday, Food Safety Officers of CMC conducted an inspection at Wow! Momo Foods Pvt. Ltd., GSM Mall, Madinaguda, to assess compliance with food safety and hygiene standards. 
 Good practices observed: 
 • Food handlers maintained personal hygiene. 
 • FSSAI licence displayed prominently at the premises. 
 Major observations: 
 • Cockroach infestation observed in the premises. 
 • Water testing, food testing, packaging testing and medical fitness records were not available. 
 • No hot water provision in the dishwashing area. 
 • Expired sauces and paneer were identified and discarded during the inspection. 
 • Spoiled vegetables and leafy vegetables were discarded. 
 • Onion storage crates required proper cleaning. 
 • Deep cleaning of the flooring was found to be inadequate. 
 FoSCoS Score: 78/116 (68%) 
 An Improvement Notice is being issued, directing the Food Business Operator to rectify the deficiencies and ensure compliance with food safety standards. 
 #TeamCMC #FoodSafety #SafeFood #Cyberabad 
 @jayesh_ranjan 
 @TelanganaCS 
 @TelanganaCMO 
 @IPRTelangana 
 @MC_Cyberabad 
 @ZC_SLP 
 @ZC_Kukatpally1 
 @zcquthbullapur 
 @GummallaSrijana"
Nestham Enterprises (Pista House),RC Puram,2026-07-29,Personal hygiene maintained by food handlers | FSSAI license displayed prominently at the premises,,An Improvement Notice has been issued directing the Food Business Operator to rectify the identified deficiencies and ensure compliance with food safety standards,72,104,70,None,Yes,@CMC_Offcl,https://x.com/CMC_Offcl/status/2082466238123638874,2026-07-29,https://pbs.twimg.com/media/HOZnLkwbgAAN39y?format=jpg&name=small | https://pbs.twimg.com/media/HOZnLkybMAAQr6j?format=jpg&name=small | https://pbs.twimg.com/media/HOZnLkpbUAAl0_4?format=jpg&name=small | https://pbs.twimg.com/media/HOZnLlKb0AA3uj0?format=jpg&name=small,"Food Safety Inspection | Pista House 
 Food Safety Officers of CMC conducted an inspection at Nestham Enterprises (Pista House), RC Puram, to assess compliance with food safety and hygiene standards. 
 Good practices observed: 
 • Personal hygiene maintained by food handlers. 
 • FSSAI license displayed prominently at the premises. 
 Major observations: 
 • Houseflies in the bakery section and fruit flies on stored carrots. 
 • No hot water provision in one of the dishwashing areas. 
 • Kitchen windows kept open. 
 • Food items not labelled with commodity names. 
 • Marinated biryani mix assigned a three-day shelf life without supporting technical evidence. 
 • Drains were not adequately cleaned, with food waste observed. 
 • Medical fitness, pest control, water testing, food testing and packaging records were not available. 
 • Water leakage observed inside the walk-in chiller. 
 • Rusting observed in a refrigerator. 
 FoSCoS Score: 72/104 (70%) 
 An Improvement Notice has been issued directing the Food Business Operator to rectify the identified deficiencies and ensure compliance with food safety standards. 
 #TeamCMC #FoodSafety #SafeFood #Cyberabad 
 @jayesh_ranjan 
 @TelanganaCS 
 @TelanganaCMO 
 @IPRTelangana 
 @MC_Cyberabad 
 @ZC_SLP 
 @ZC_Kukatpally1 
 @zcquthbullapur 
 @GummallaSrijana"
Mandi King,Manikonda,2026-07-29,Food handlers wearing uniforms and hairnets | No stale or expired food items found | Food items in freezers properly labelled | No pest activity observed and pest control records were available,,Used cooking oil was discarded during the inspection | The rusted freezer was removed from the kitchen | An Improvement Notice is being issued to rectify the identified deficiencies,82,114,72,None,Yes,@CMC_Offcl,https://x.com/CMC_Offcl/status/2082464400485806197,2026-07-29,https://pbs.twimg.com/amplify_video_thumb/2082464293032001536/img/SoIUyXJ7ftv_DTOK.jpg | https://pbs.twimg.com/amplify_video_thumb/2082464292952227840/img/xmIqWJA97MiFEcFm.jpg | https://pbs.twimg.com/media/HOZmRt8bsAAQgNA?format=jpg&name=small | https://pbs.twimg.com/media/HOZmRuYa0AAi4lr?format=jpg&name=900x900,"Food Safety Inspection | Mandi King 
 Food Safety Officers of CMC conducted an inspection at Mandi King, Manikonda, to assess compliance with food safety and hygiene standards. 
 Good practices observed: 
 • Food handlers wearing uniforms and hairnets. 
 • No stale or expired food items found. 
 • Food items in freezers properly labelled. 
 • No pest activity observed and pest control records were available. 
 Major observations: 
 • Food waste was not being removed regularly. 
 • Cooking oil in deep fryers was found to be dark and greasy. 
 • Water stagnation observed on the kitchen floor. 
 • Exhaust system required thorough cleaning. 
 • Dustbins were kept uncovered. 
 • Medical fitness certificates and water analysis reports were not available. 
 • One freezer was found to be rusted and corroded. 
 • No FoSTaC-trained staff available. 
 • Spices and raw materials were stored in corroded plastic containers. 
 Corrective action taken: 
 • Used cooking oil was discarded during the inspection. 
 • The rusted freezer was removed from the kitchen. 
 • An Improvement Notice is being issued to rectify the identified deficiencies. 
 FoSCoS Score: 82/114 (72%) 
 #TeamCMC #FoodSafety #SafeFood #Cyberabad 
 @jayesh_ranjan 
 @TelanganaCS 
 @TelanganaCMO 
 @IPRTelangana 
 @MC_Cyberabad 
 @ZC_SLP 
 @ZC_Kukatpally1 
 @zcquthbullapur 
 @GummallaSrijana"
Coal Spark,Madhapur,2026-07-29,Food handlers using hairnets and gloves | Water quality testing carried out | Natural colour extracts used in food preparation | FoSTaC-certified supervisors available at the premises | No expired food items or pest activity observed in the kitchen | Regular cleaning schedule maintained | FIFO and FEFO practices followed for food storage,"Water seepage and flaking observed on the store room walls | Pest activity noticed in a steamer kept under maintenance | Hot water sterilisation of utensils was not being followed | Rust observed on freezer racks, requiring corrective action to prevent contamination",An Improvement Notice has been issued directing the Food Business Operator to address the identified observations and ensure compliance with food safety standards,89,106,84,Improvement,Yes,@CMC_Offcl,https://x.com/CMC_Offcl/status/2082455238544412910,2026-07-29,https://pbs.twimg.com/amplify_video_thumb/2082455167149240320/img/0gC5dYHyDGGgy60s.jpg | https://pbs.twimg.com/amplify_video_thumb/2082455167212175360/img/lJvCu1cpTXSEw6Cr.jpg | https://pbs.twimg.com/media/HOZd_hib0AAaCJU?format=jpg&name=small | https://pbs.twimg.com/media/HOZd_haawAAZsl1?format=jpg&name=small,"Food Safety Inspection | Coal Spark 
 Food Safety Officers of CMC conducted an inspection at Coal Spark, Madhapur, to assess compliance with food safety and hygiene standards. 
 Good practices observed: 
 • Food handlers using hairnets and gloves. 
 • Water quality testing carried out. 
 • Natural colour extracts used in food preparation. 
 • FoSTaC-certified supervisors available at the premises. 
 • No expired food items or pest activity observed in the kitchen. 
 • Regular cleaning schedule maintained. 
 • FIFO and FEFO practices followed for food storage. 
 Areas requiring improvement: 
 • Water seepage and flaking observed on the store room walls. 
 • Pest activity noticed in a steamer kept under maintenance. 
 • Hot water sterilisation of utensils was not being followed. 
 • Rust observed on freezer racks, requiring corrective action to prevent contamination. 
 FoSCoS Score: 89/106 (84%) 
 An Improvement Notice has been issued directing the Food Business Operator to address the identified observations and ensure compliance with food safety standards. 
 #TeamCMC #FoodSafety #SafeFood #Cyberabad 
 @jayesh_ranjan 
 @TelanganaCS 
 @TelanganaCMO 
 @IPRTelangana 
 @MC_Cyberabad 
 @ZC_SLP 
 @ZC_Kukatpally1 
 @zcquthbullapur 
 @GummallaSrijana"
Taaza Kitchen,Madhapur,2026-07-28,"Food handlers using hairnets and gloves | Water quality testing and medical fitness records available | No synthetic colours or ajinomoto used in food preparation | FoSTaC-trained supervisors available | No stale food, expired food items or pest activity observed | Regular cleaning schedule and pest control maintained | Hot water sterilisation of utensils followed | Raw materials properly labelled",,An Improvement Notice has been issued to ensure compliance with the identified observation,87,92,95,None,Yes,@CMC_Offcl,https://x.com/CMC_Offcl/status/2082104374579638556,2026-07-28,https://pbs.twimg.com/amplify_video_thumb/2082104299686076416/img/TvRF00a0D693ALMl.jpg | https://pbs.twimg.com/media/HOUe1D2aoAAU8Oa?format=jpg&name=small | https://pbs.twimg.com/media/HOUe1EEbAAA4HSj?format=jpg&name=small | https://pbs.twimg.com/media/HOUe4Aea8AAs2Tk?format=jpg&name=small,"Food Safety Inspection | Taaza Kitchen 
 Food Safety Officers of CMC conducted an inspection at Taaza Kitchen, Madhapur, to assess compliance with food safety and hygiene standards. 
 Good practices observed: 
 • Food handlers using hairnets and gloves. 
 • Water quality testing and medical fitness records available. 
 • No synthetic colours or ajinomoto used in food preparation. 
 • FoSTaC-trained supervisors available. 
 • No stale food, expired food items or pest activity observed. 
 • Regular cleaning schedule and pest control maintained. 
 • Hot water sterilisation of utensils followed. 
 • Raw materials properly labelled. 
 Area requiring improvement: 
 • Drain mesh to be installed. 
 FoSCoS Score: 87/92 (95%) 
 An Improvement Notice has been issued to ensure compliance with the identified observation. 
 #TeamCMC #FoodSafety #SafeFood #Cyberabad 
 @jayesh_ranjan 
 @TelanganaCS 
 @TelanganaCMO 
 @IPRTelangana 
 @MC_Cyberabad 
 @ZC_SLP 
 @ZC_Kukatpally1 
 @zcquthbullapur 
 @GummallaSrijana"
